UI,Retreived?,Title,"Author (1st)
 Plus 'et al' if more than 
 one author please
 
 If does not fit criteria 
 write here in bold",Year,n_comment,"Patient number
 (Number of LMIC patients)
 
 Star (*) if cannot distinguish 
 between HDI

Hash(#) if cannot distinguish numbers
for individual LMICs",Country (if more than 5 write 'multiple' to minimise time. SK will pull later.,"Study design
 Cohort (one centre) Cohort (single country) Cohort (multiple countries) Database Registry Machine learning","Name of database / registry
 (if given)",Surgical speciality,"Outcome measured
 Incidence Patient demographics Post-operative outcomes Mortality Other",,,"Note: how has it improved global surgery?
 One-liner max
 E.g. identified poor outcomes at centre/country level","Any issues / for discussion?
 If conference abstract write 'conference' here. SK will explore"
ui,retrieved,title,author,year,n_comment,n,countries,study_design,db_registry_name,surgical_speciality,outcome_primary,outcome_second,outcome_third,impact,comments
623407368,Yes,Radical gastrectomy for gastric cancer at Tata Memorial Hospital.,Bhandare et al,2017,,580,India,Cohort (single centre),,General surgery,Survival,,,"Evidence that high volume centres increase lymph 
 node yield and reduce in-patient stay in gastrectomies",
613174175,Yes,"Global patient outcomes after elective surgery: Prospective cohort study in 27 low-, middle- and high-income countries.",ISOS,2016,multiple_worldwide,15806,Worldwide,Cohort (multiple countries),ISOS,Multiple specialities (elective surgery),Post-operative outcomes,,,"1 in 6 experience in-hospital complication post-operation
 Critical care provision critical in LMIC setting",
609135800,Yes,Do Caucasians and East Asians have different outcomes following surgery for the treatment of degenerative cervical myelopathy?.,Nagoshi et al,2016,multiple_hic,479,"India (999999999), Turkey (999999999), Brazil (999999999), China (999999999)",Cohort (multiple countries),AOSpine International Study,Spinal surgery,Post-operative outcomes,Quality of life,,"Decompressive surgery for degenerative cervical myelopathy
 has comparable functional gains across different ethnicities",
623129940,Yes,Predictors of internal mammary lymph nodes (IMLN) metastasis and disease-free survival comparison between IMLN-positive and IMLN-negative breast cancer patients: Results from Western China Clinical Cooperation Group (WCCCG) database (CONSORT).,Wang et al,2018,,1977,China,Database,Western China Clinical Cooperation Group,Breast surgery,Survival,,,"Specific characteristics increasse risk of internal mammary
 lymph node metastases",
622793776,Yes,"A multicentre, cross-sectional study investigating the prevalence of hypertensive disease in patients presenting for elective surgery in the Western Cape Province, South Africa.",van der Spuy et al,2018,,382,South Africa,Cohort (single country),,Multiple specialities (elective surgery),Patient demographics,,,"The perioperative period may be an opportunity to
 identify undiagnosed hypertension in LMICs",
601930172,Yes,Cleft lip-cleft palate in Zimbabwe: Estimating the distribution of the surgical burden of disease using geographic information systems.,Tollefson et al,2015,,604,Zimbabwe,Database,,ENT,Patient demographics,,,"Persistent burden of disease which requires attention
 Isolated cleft palate presents much later",
622294900,Yes,Access to surgical assistance: challenges and perspectives.,Tostes et al,2016,,3773,Brazil,Database,Brazilian Medical Association,Multiple specialities,Access,,,"Prolonged waiting time to surgery major issue in Brazil.
 Quantifies difficulties in moving towards universal
 healthcare",
622199340,Yes,Myocardial injury after noncardiac surgery-incidence and predictors from a prospective observational cohort study at an Indian tertiary care centre.,George et al,2018,,1075,India,Cohort (one centre),,Multiple specialities,Patient demographics,,,"Higher incidence of myocardial infarct and 30-day
 mortality in Indian cohort compared to global rates",
622065223,Yes,Costs and mortality rates of surgical approaches to hysterectomy in Brazil.,Augusto et al,2018,,428346,Brazil,Registry,DATASUS,Gynaecology,Post-operative outcomes,Patient cost,,"Low rates of mortality for hysterectomy
 Total abdominal hysterectomy has highest cost burden",
621990918,Yes,Decision analysis to identify the ideal treatment for adult spinal deformity: What is the impact of complications on treatment outcomes?.,Acaroglu et al,2017,multiple_hic,535,Turkey (999999999),Database,,Spinal surgery,Post-operative outcomes,,,"Surgery for adult spinal deformity improves
 symptoms but associated with increased complications.
 No LMIC specific focus.",No specific LMIC focus. ? exclude
